actual,estimate,period,symbol
1.94,1.84,2019-12-31,UTX
2.21,2.03,2019-09-30,UTX
2.2,2.05,2019-06-30,UTX
1.91,1.71,2019-03-31,UTX
1.95,1.53271,2018-12-31,UTX
1.93,1.81471,2018-09-30,UTX
1.97,1.84786,2018-06-30,UTX
1.77,1.515,2018-03-31,UTX
1.6,1.5605,2017-12-31,UTX
1.73,1.68753,2017-09-30,UTX
1.85,1.77982,2017-06-30,UTX
1.48,1.38947,2017-03-31,UTX
1.56,1.55744,2016-12-31,UTX
1.76,1.66247,2016-09-30,UTX
1.82,1.68139,2016-06-30,UTX
1.42,1.39205,2016-03-31,UTX
1.37,1.51784,2015-12-31,UTX
1.61,1.55242,2015-09-30,UTX
1.73,1.714,2015-06-30,UTX
1.58,1.44765,2015-03-31,UTX
1.62,1.62105,2014-12-31,UTX
2.04,1.8086,2014-09-30,UTX
1.84,1.71243,2014-06-30,UTX
1.32,1.267,2014-03-31,UTX
1.58,1.52696,2013-12-31,UTX
1.55,1.5377,2013-09-30,UTX
1.7,1.57296,2013-06-30,UTX
1.39,1.29273,2013-03-31,UTX
1.04,1.02762,2012-12-31,UTX
1.37,1.1779,2012-09-30,UTX
1.62,1.4105,2012-06-30,UTX
1.31,1.19762,2012-03-31,UTX
1.47,1.457,2011-12-31,UTX
1.47,1.44368,2011-09-30,UTX
1.45,1.40952,2011-06-30,UTX
1.11,1.06611,2011-03-31,UTX
1.31,1.29316,2010-12-31,UTX
1.3,1.27842,2010-09-30,UTX
1.2,1.16118,2010-06-30,UTX
0.93,0.89765,2010-03-31,UTX
1.15,1.14056,2009-12-31,UTX
1.14,1.11842,2009-09-30,UTX
1.05,1.03875,2009-06-30,UTX
0.78,0.78059,2009-03-31,UTX
1.23,1.22143,2008-12-31,UTX
1.33,1.31467,2008-09-30,UTX
1.32,1.30063,2008-06-30,UTX
1.03,1.00647,2008-03-31,UTX
1.08,1.06529,2007-12-31,UTX
1.21,1.16,2007-09-30,UTX
1.16,1.14778,2007-06-30,UTX
0.82,0.8,2007-03-31,UTX
0.87,0.84842,2006-12-31,UTX
0.99,0.96167,2006-09-30,UTX
1.09,1.00579,2006-06-30,UTX
0.76,0.72632,2006-03-31,UTX
0.71,0.70505,2005-12-31,UTX
0.81,0.78952,2005-09-30,UTX
0.95,0.84763,2005-06-30,UTX
0.64,0.62306,2005-03-31,UTX
0.645,0.63722,2004-12-31,UTX
0.715,0.705,2004-09-30,UTX
0.83,0.78971,2004-06-30,UTX
0.57,0.55824,2004-03-31,UTX
0.58,0.5645,2003-12-31,UTX
0.635,0.62026,2003-09-30,UTX
0.63,0.61361,2003-06-30,UTX
0.5,0.48694,2003-03-31,UTX
0.53,0.52235,2002-12-31,UTX
0.605,0.59375,2002-09-30,UTX
0.615,0.60029,2002-06-30,UTX
0.46,0.44867,2002-03-31,UTX
