actual,estimate,period,symbol
1.31,1.33,2019-12-31,VRSN
1.36,1.31,2019-09-30,VRSN
1.33,1.29,2019-06-30,VRSN
1.31,1.25,2019-03-31,VRSN
1.58,1.20867,2018-12-31,VRSN
1.23,1.19475,2018-09-30,VRSN
1.18,1.135,2018-06-30,VRSN
1.07,1.05875,2018-03-31,VRSN
0.96,0.971,2017-12-31,VRSN
1.0,0.9725,2017-09-30,VRSN
1.05,0.9925,2017-06-30,VRSN
0.96,0.942,2017-03-31,VRSN
0.92,0.884,2016-12-31,VRSN
0.93,0.87,2016-09-30,VRSN
0.91,0.864,2016-06-30,VRSN
0.85,0.83086,2016-03-31,VRSN
0.79,0.78186,2015-12-31,VRSN
0.78,0.765,2015-09-30,VRSN
0.74,0.745,2015-06-30,VRSN
0.74,0.75429,2015-03-31,VRSN
0.7,0.71757,2014-12-31,VRSN
0.7,0.69414,2014-09-30,VRSN
0.68,0.64075,2014-06-30,VRSN
0.64,0.62589,2014-03-31,VRSN
0.58,0.59533,2013-12-31,VRSN
0.59,0.56567,2013-09-30,VRSN
0.58,0.54769,2013-06-30,VRSN
0.58,0.54429,2013-03-31,VRSN
0.59,0.51077,2012-12-31,VRSN
0.5,0.48933,2012-09-30,VRSN
0.45,0.45133,2012-06-30,VRSN
0.42,0.42857,2012-03-31,VRSN
0.4,0.41214,2011-12-31,VRSN
0.39,0.36938,2011-09-30,VRSN
0.38,0.34588,2011-06-30,VRSN
0.32,0.32056,2011-03-31,VRSN
0.31,0.2975,2010-12-31,VRSN
0.27,0.2635,2010-09-30,VRSN
0.24,0.24417,2010-06-30,VRSN
0.37,0.35421,2010-03-31,VRSN
0.31,0.33882,2009-12-31,VRSN
0.33,0.32389,2009-09-30,VRSN
0.31,0.315,2009-06-30,VRSN
0.32,0.28444,2009-03-31,VRSN
0.28,0.28474,2008-12-31,VRSN
0.25,0.26263,2008-09-30,VRSN
0.25,0.22722,2008-06-30,VRSN
0.21,0.20125,2008-03-31,VRSN
0.3,0.28778,2007-12-31,VRSN
0.26,0.27,2007-09-30,VRSN
0.25,0.25,2007-06-30,VRSN
0.21,0.223,2007-03-31,VRSN
0.24,0.25333,2006-12-31,VRSN
0.24,0.23952,2006-09-30,VRSN
0.24,0.2368,2006-06-30,VRSN
0.24,0.21875,2006-03-31,VRSN
0.26,0.2552,2005-12-31,VRSN
0.27,0.27,2005-09-30,VRSN
0.27,0.25957,2005-06-30,VRSN
0.25,0.21391,2005-03-31,VRSN
0.21,0.20409,2004-12-31,VRSN
0.19,0.16364,2004-09-30,VRSN
0.15,0.15143,2004-06-30,VRSN
0.14,0.13105,2004-03-31,VRSN
0.17,0.13217,2003-12-31,VRSN
0.15,0.14,2003-09-30,VRSN
0.14,0.14,2003-06-30,VRSN
0.14,0.1381,2003-03-31,VRSN
0.14,0.138,2002-12-31,VRSN
0.14,0.1416,2002-09-30,VRSN
0.15,0.14818,2002-06-30,VRSN
0.2,0.20667,2002-03-31,VRSN
