actual,estimate,period,symbol
1.16,1.09,2019-12-31,WMT
1.27,1.22,2019-09-30,WMT
1.13,1.02,2019-06-30,WMT
1.41,1.33,2019-03-31,WMT
1.08,1.01226,2018-12-31,WMT
1.29,1.21742,2018-09-30,WMT
1.14,1.12203,2018-06-30,WMT
1.33,1.37103,2018-03-31,WMT
1.0,0.9731,2017-12-31,WMT
1.08,1.06669,2017-09-30,WMT
1.0,0.96297,2017-06-30,WMT
1.3,1.28765,2017-03-31,WMT
0.98,0.96181,2016-12-31,WMT
1.07,1.02188,2016-09-30,WMT
0.98,0.88221,2016-06-30,WMT
1.49,1.46271,2016-03-31,WMT
0.99,0.97612,2015-12-31,WMT
1.08,1.12365,2015-09-30,WMT
1.03,1.04296,2015-06-30,WMT
1.61,1.53454,2015-03-31,WMT
1.15,1.11854,2014-12-31,WMT
1.21,1.20779,2014-09-30,WMT
1.1,1.15168,2014-06-30,WMT
1.6,1.58748,2014-03-31,WMT
1.14,1.12769,2013-12-31,WMT
1.25,1.252,2013-09-30,WMT
1.14,1.14542,2013-06-30,WMT
1.67,1.56864,2013-03-31,WMT
1.08,1.07174,2012-12-31,WMT
1.18,1.17269,2012-09-30,WMT
1.09,1.04261,2012-06-30,WMT
1.44,1.4548,2012-03-31,WMT
0.97,0.97792,2011-12-31,WMT
1.12,1.08,2011-09-30,WMT
0.97,0.954,2011-06-30,WMT
1.34,1.31179,2011-03-31,WMT
0.9,0.90044,2010-12-31,WMT
0.97,0.96333,2010-09-30,WMT
0.88,0.84546,2010-06-30,WMT
1.17,1.1224,2010-03-31,WMT
0.84,0.80875,2009-12-31,WMT
0.88,0.85455,2009-09-30,WMT
0.77,0.7735,2009-06-30,WMT
1.03,0.98857,2009-03-31,WMT
0.77,0.75864,2008-12-31,WMT
0.86,0.83619,2008-09-30,WMT
0.76,0.75409,2008-06-30,WMT
1.04,1.01619,2008-03-31,WMT
0.69,0.672,2007-12-31,WMT
0.72,0.7635,2007-09-30,WMT
0.68,0.67591,2007-06-30,WMT
0.92,0.89619,2007-03-31,WMT
0.62,0.5945,2006-12-31,WMT
0.72,0.72263,2006-09-30,WMT
0.63,0.6077,2006-06-30,WMT
0.84,0.8276,2006-03-31,WMT
0.57,0.57144,2005-12-31,WMT
0.67,0.65348,2005-09-30,WMT
0.55,0.5608,2005-06-30,WMT
0.75,0.73808,2005-03-31,WMT
0.54,0.53852,2004-12-31,WMT
0.62,0.605,2004-09-30,WMT
0.5,0.49103,2004-06-30,WMT
0.63,0.63276,2004-03-31,WMT
0.46,0.46667,2003-12-31,WMT
0.52,0.51792,2003-09-30,WMT
0.41,0.41739,2003-06-30,WMT
0.57,0.55842,2003-03-31,WMT
0.41,0.40217,2002-12-31,WMT
0.46,0.45191,2002-09-30,WMT
0.37,0.36182,2002-06-30,WMT
0.49,0.48864,2002-03-31,WMT
