actual,estimate,period,symbol
0.41,0.43,2019-12-31,XOM
0.67,0.67,2019-09-30,XOM
0.61,0.66,2019-06-30,XOM
0.55,0.7,2019-03-31,XOM
1.41,1.07717,2018-12-31,XOM
1.46,1.23361,2018-09-30,XOM
0.92,1.26981,2018-06-30,XOM
1.09,1.12194,2018-03-31,XOM
0.88,1.03662,2017-12-31,XOM
0.97,0.86059,2017-09-30,XOM
0.78,0.83629,2017-06-30,XOM
0.95,0.849,2017-03-31,XOM
0.9,0.70417,2016-12-31,XOM
0.63,0.58182,2016-09-30,XOM
0.41,0.64041,2016-06-30,XOM
0.43,0.30857,2016-03-31,XOM
0.67,0.63226,2015-12-31,XOM
1.01,0.88577,2015-09-30,XOM
1.0,1.11133,2015-06-30,XOM
1.17,0.82891,2015-03-31,XOM
1.32,1.34075,2014-12-31,XOM
1.89,1.7131,2014-09-30,XOM
2.05,1.86063,2014-06-30,XOM
2.1,1.87953,2014-03-31,XOM
1.91,1.91639,2013-12-31,XOM
1.79,1.77438,2013-09-30,XOM
1.55,1.89919,2013-06-30,XOM
2.12,2.04662,2013-03-31,XOM
2.2,1.99633,2012-12-31,XOM
2.09,1.9535,2012-09-30,XOM
1.8,1.95216,2012-06-30,XOM
2.0,2.08994,2012-03-31,XOM
1.97,1.9576,2011-12-31,XOM
2.13,2.119,2011-09-30,XOM
2.18,2.33033,2011-06-30,XOM
2.14,2.07639,2011-03-31,XOM
1.85,1.62539,2010-12-31,XOM
1.44,1.39133,2010-09-30,XOM
1.6,1.45824,2010-06-30,XOM
1.37,1.4175,2010-03-31,XOM
1.27,1.18938,2009-12-31,XOM
0.98,1.0325,2009-09-30,XOM
0.84,1.02933,2009-06-30,XOM
0.92,0.94654,2009-03-31,XOM
1.55,1.44977,2008-12-31,XOM
2.59,2.38462,2008-09-30,XOM
2.27,2.51539,2008-06-30,XOM
2.03,2.14,2008-03-31,XOM
2.13,1.95235,2007-12-31,XOM
1.7,1.75118,2007-09-30,XOM
1.83,1.95778,2007-06-30,XOM
1.62,1.52316,2007-03-31,XOM
1.69,1.50619,2006-12-31,XOM
1.77,1.5855,2006-09-30,XOM
1.72,1.6505,2006-06-30,XOM
1.37,1.465,2006-03-31,XOM
1.65,1.4409,2005-12-31,XOM
1.32,1.38406,2005-09-30,XOM
1.23,1.23722,2005-06-30,XOM
1.15,1.19833,2005-03-31,XOM
1.3,1.0665,2004-12-31,XOM
0.96,0.8695,2004-09-30,XOM
0.88,0.8785,2004-06-30,XOM
0.83,0.74579,2004-03-31,XOM
0.68,0.58526,2003-12-31,XOM
0.55,0.61684,2003-09-30,XOM
0.62,0.55833,2003-06-30,XOM
0.71,0.69111,2003-03-31,XOM
0.56,0.49636,2002-12-31,XOM
14.08,0.42524,2002-09-30,XOM
0.39,0.45909,2002-06-30,XOM
0.31,0.39546,2002-03-31,XOM
