actual,estimate,period,symbol
1.0,1.13,2019-12-31,YUM
0.8,0.94,2019-09-30,YUM
0.93,0.87,2019-06-30,YUM
0.82,0.81,2019-03-31,YUM
0.4,0.9485,2018-12-31,YUM
1.04,0.82886,2018-09-30,YUM
0.82,0.74367,2018-06-30,YUM
0.9,0.68395,2018-03-31,YUM
0.96,0.79548,2017-12-31,YUM
0.68,0.66757,2017-09-30,YUM
0.68,0.611,2017-06-30,YUM
0.65,0.59771,2017-03-31,YUM
0.79,0.74048,2016-12-31,YUM
1.09,1.10005,2016-09-30,YUM
0.75,0.74036,2016-06-30,YUM
0.95,0.8301,2016-03-31,YUM
0.68,0.66242,2015-12-31,YUM
1.0,1.06519,2015-09-30,YUM
0.69,0.62375,2015-06-30,YUM
0.8,0.71658,2015-03-31,YUM
0.61,0.66175,2014-12-31,YUM
0.87,0.88448,2014-09-30,YUM
0.73,0.7443,2014-06-30,YUM
0.87,0.85146,2014-03-31,YUM
0.86,0.79981,2013-12-31,YUM
0.85,0.92671,2013-09-30,YUM
0.56,0.54295,2013-06-30,YUM
0.7,0.60312,2013-03-31,YUM
0.83,0.81646,2012-12-31,YUM
0.99,0.97,2012-09-30,YUM
0.67,0.70286,2012-06-30,YUM
0.76,0.72857,2012-03-31,YUM
0.75,0.742,2011-12-31,YUM
0.83,0.8265,2011-09-30,YUM
0.66,0.6065,2011-06-30,YUM
0.63,0.6425,2011-03-31,YUM
0.63,0.59684,2010-12-31,YUM
0.73,0.72444,2010-09-30,YUM
0.58,0.545,2010-06-30,YUM
0.59,0.525,2010-03-31,YUM
0.5,0.47842,2009-12-31,YUM
0.7,0.58056,2009-09-30,YUM
0.5,0.43,2009-06-30,YUM
0.48,0.39875,2009-03-31,YUM
0.46,0.44533,2008-12-31,YUM
0.58,0.54,2008-09-30,YUM
0.45,0.41692,2008-06-30,YUM
0.42,0.39636,2008-03-31,YUM
0.44,0.41923,2007-12-31,YUM
0.5,0.44667,2007-09-30,YUM
0.39,0.3625,2007-06-30,YUM
0.35,0.31844,2007-03-31,YUM
0.415,0.39382,2006-12-31,YUM
0.415,0.37733,2006-09-30,YUM
0.34,0.31063,2006-06-30,YUM
0.295,0.28563,2006-03-31,YUM
0.385,0.39,2005-12-31,YUM
0.355,0.35066,2005-09-30,YUM
0.31,0.28278,2005-06-30,YUM
0.265,0.25833,2005-03-31,YUM
0.365,0.36139,2004-12-31,YUM
0.305,0.30094,2004-09-30,YUM
0.275,0.26133,2004-06-30,YUM
0.235,0.22406,2004-03-31,YUM
0.325,0.31206,2003-12-31,YUM
0.27,0.25893,2003-09-30,YUM
0.24,0.23091,2003-06-30,YUM
0.195,0.1895,2003-03-31,YUM
0.28,0.27542,2002-12-31,YUM
0.245,0.23786,2002-09-30,YUM
0.225,0.21594,2002-06-30,YUM
0.2,0.19353,2002-03-31,YUM
